Index,orig_lang
1115,Spanish
1115,Castilian
1116,Japanese
1117,English
1118,Spanish
1118,Castilian
1119,Tagalog
1120,English
1121,English
1122,English
1123,Japanese
1124,English
1125,English
1126,English
1127,English
1128,English
1129,Japanese
1130,Korean
1131,Spanish
1131,Castilian
1132,English
1133,English
1134,English
1135,Japanese
1136,English
1137,English
1138,English
1139,English
1140,English
1141,Japanese
1142,English
1143,Korean
1144,English
1145,English
1146,English
1147,English
1148,English
1149,English
1150,English
1151,English
1152,English
1153,English
1154,English
1155,English
1156,English
1157,English
1158,English
1159,English
1160,English
1161,Japanese
1162,Korean
1163,English
1164,English
1165,English
1166,English
1167,Italian
1168,English
1169,English
1170,English
1171,English
1172,English
1173,French
1174,English
1175,Japanese
1176,English
1177,English
1178,English
1179,English
1180,English
1181,English
1182,English
1183,English
1184,English
1185,English
1186,English
1187,English
1188,English
1189,English
1190,English
1191,English
1192,English
1193,English
1194,English
1195,English
1196,Spanish
1196,Castilian
1197,Japanese
1198,English
1199,Spanish
1199,Castilian
1200,English
1201,English
1202,English
1203,English
1204,English
1205,English
1206,English
1207,English
1208,English
1209,English
1210,English
1211,English
1212,English
1213,Japanese
1214,English
1215,English
1216,English
1217,English
1218,English
1219,English
1220,English
1221,French
1222,English
1223,Chinese
1224,Korean
1225,English
1226,Japanese
1227,English
1228,English
1229,Japanese
1230,English
1231,English
1232,English
1233,English
1234,English
1235,English
1236,English
1237,English
1238,English
1239,English
1240,English
1241,English
1242,English
1243,English
1244,English
1245,English
1246,English
1247,English
1248,Tagalog
1249,English
1250,Russian
1251,Spanish
1251,Castilian
1252,English
1253,English
1254,English
1255,English
1256,English
1257,English
1258,English
1259,English
1260,English
1261,English
1262,English
1263,Japanese
1264,English
1265,French
1266,English
1267,English
1268,English
1269,English
1270,English
1271,English
1272,English
1273,English
1274,English
1275,Japanese
1276,English
1277,English
1278,English
1279,English
1280,Japanese
1281,English
1282,English
1283,English
1284,English
1285,Japanese
1286,Japanese
1287,English
1288,Japanese
1289,English
1290,English
1291,English
1292,English
1293,English
1294,Turkish
1295,French
1296,English
1297,English
1298,Korean
1299,English
1300,English
1301,English
1302,English
1303,English
1304,English
1305,Turkish
1306,English
1307,Italian
1308,English
1309,Spanish
1309,Castilian
1310,English
1311,Japanese
1312,French
1313,English
1314,English
1315,Chinese
1316,English
1317,English
1318,Spanish
1318,Castilian
1319,Korean
1320,English
1321,English
1322,English
1323,Japanese
1324,Japanese
1325,English
1326,English
1327,English
1328,Thai
1329,English
1330,English
1331,English
1332,English
1333,English
1334,Spanish
1334,Castilian
1335,English
