index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
6102,Anna Karenina,13-02-2013,"Drama, Romance", English,71004627,49000000,Australia,67
6103,Magnum Force,26-12-1973,"Drama, Crime, Action", English,39768000,26730400,Australia,71
6104,Wither,09-05-2013,Horror, Swedish,427304425.6,49200000,Sweden,55
6105,Upuan,03-03-2023,Romance, Tagalog,38139010,12001040,Philippines,20
6106,The Elephant Man,16-01-1981,"Drama, History", English,26024614,5000000,Australia,81
6107,Honeymoon with My Mother,29-04-2022,Comedy," Spanish, Castilian",519948264.6,90544000,Spain,64
6108,George of the Jungle 2,21-10-2003,"Adventure, Comedy, Family", English,2207949.8,12000000,United States,44
6109,Heks,15-12-2020,"Horror, Drama", English,231350551,140000000,United States,60
6110,Batman: Hush,12-08-2019,"Action, Animation, Crime, Mystery", English,527876612,150200000,Australia,72
6111,Tom and Jerry's Giant Adventure,04-08-2013,"Animation, Family", English,367062648.8,146740000,United States,59
6112,Stewie Griffin: The Untold Story,25-01-2006,"Action, Adventure, Animation, Comedy", English,401345912,126300000,Australia,69
6113,"Crouching Tiger, Hidden Dragon: Sword of Destiny",23-05-2016,"Action, Adventure, Drama", English,237662040.8,20000000,Australia,61
6114,Snotty Boy,07-07-2022,Animation, German,464009434.6,84540523.8,Germany,63
6115,Hard to Kill,17-05-1990,Action, English,47410000,10000000,Australia,60
6116,Wall Street,04-01-1988,"Crime, Drama", English,43848100,16500000,Australia,72
6117,Tenebre,28-10-1982,"Horror, Mystery, Thriller", Italian,309098017.4,156000000,Italy,68
6118,The Quick and the Dead,15-06-1995,"Western, Action, Thriller", English,18552460,32000000,Australia,65
6119,Free Willy 2: The Adventure Home,19-07-1995,"Family, Adventure, Drama", English,30000000,31000000,United States,59
6120,Beyond the Reach,17-04-2015,Thriller, English,45895,8500000,United States,59
6121,Free Birds,12-02-2014,"Animation, Comedy, Family", English,110387072,55000000,Australia,59
6122,The Tuxedo,26-12-2002,"Thriller, Action, Comedy, Science Fiction", English,104429625,60000000,Australia,57
6123,Love Tactics,11-02-2022,"Romance, Comedy", Turkish,226316080.4,91200000,Turkey,72
6124,Cat's Eye,12-04-1985,"Horror, Thriller", English,13100000,7000000,United States,68
6125,Disaster Movie,02-10-2008,"Comedy, Science Fiction", English,36720752,20000000,Australia,33
6126,The Last Sharknado: It's About Time,18-10-2018,"Science Fiction, Action, Adventure, Comedy, TV Movie", English,4321825.2,3000000,Australia,46
6127,Once Upon a Time: The Super Heroes,23-12-2001,"Documentary, TV Movie", French,357013023.4,64000000,France,65
6128,Mad God,05-12-2022,"Animation, Fantasy, Horror, Science Fiction", English,322619,250000,Australia,69
6129,The Walking Dead,24-02-1995,"Drama, War", English,526730825.6,140040000,United States,68
6130,Mirror Mirror,29-03-2012,"Adventure, Comedy, Family, Fantasy", English,173613482,85000000,Australia,59
6131,Jingle All the Way,21-11-1996,"Family, Comedy, Adventure", English,129832389,60000000,Australia,60
6132,Blood Money,31-03-2012,"Drama, Action, Thriller", Hindi,523582647,218000000,India,61
6133,Midnight in the Switchgrass,23-07-2021,"Crime, Mystery, Thriller, Action", English,97518,15000000,United States,61
6134,Ran,01-09-1986,"Action, Drama, History", Japanese,11859533,11500005,Australia,81
6135,Arctic Predator,20-08-2010,"Action, Science Fiction, Thriller", English,253160866.8,101000000,United States,56
6136,Turistas,01-12-2006,"Horror, Thriller", English,14321070,10000000,United States,55
6137,Moon,08-10-2009,"Science Fiction, Drama", English,10676073,5000000,Australia,76
6138,Silverado,12-12-1985,Western, English,33200000,26000000,Australia,70
6139,The Haunted Mansion,25-03-2004,"Thriller, Fantasy, Comedy, Family, Mystery", English,155750628,90000000,Australia,56
6140,The Heartbreak Kid,22-11-2007,"Comedy, Romance", English,127766650,60000000,Australia,57
6141,Funny Games,01-10-1997,"Drama, Horror, Thriller", German,8200127,15000000,United States,73
6142,Faraaz,03-02-2023,"Action, Thriller", Hindi,950627748.8,157200000,India,48
6143,Pixie Hollow Bake Off,17-02-2012,Animation, English,602209262.4,111000000,Australia,71
6144,Snake and Whip,23-08-1986,"Thriller, Drama", Japanese,393750045.8,81400000,Japan,52
6145,Brawl in Cell Block 99,23-11-2017,"Action, Crime, Thriller", English,79208,4000000,Australia,70
6146,Hal,26-11-2014,"Animation, Romance", Japanese,485195666.4,77300000,Australia,68
6147,Ben 10 protiv Univerzuma: Film,10-10-2020,"Animation, Action, Adventure, Science Fiction", English,807589932.6,124800000,United States,77
6148,The Whole Truth,21-10-2016,"Drama, Thriller", English,445526734.8,147400000,United States,65
6149,Another Gantz,22-04-2011,"Action, Science Fiction, Mystery", Japanese,461645888,149000000,Japan,71
6150,American Underdog,25-12-2021,Drama, English,25000000,902001.4,United States,74
6151,Nice Sister-In-Law 2,08-10-2017,Romance, Korean,492196010.4,121400000,South Korea,53
6152,The Perfect Date,12-04-2019,"Romance, Comedy", English,383536021,81000000,Australia,65
6153,The Report,14-11-2019,"Thriller, Drama", English,242788,8000000,Australia,70
6154,Black Mass,17-09-2015,"Drama, Crime, History", English,98837872,53000000,Australia,65
